"","document","topic","gamma"
"1700","Father’s Day ‘98",4,6.76217963426687e-06
"1701","From A Distance",4,6.81735727062077e-06
"1702","Heretics",4,0.0562192802443501
"1703","Human Resources",4,7.71173165059485e-06
"1704","Human Spectacle",4,7.5599523434356e-06
"1705","Ladies and Germs",4,6.8989903308901e-06
"1706","Lincoln's Second Inaugural",4,0.290245509534884
"1707","MacGyver",4,6.7072128537073e-06
"1708","My Brilliant Plan",4,7.27760166294913e-06
"1709","Naming Names",4,7.03033937902559e-06
"1710","Notes on Camp",4,7.04590325823694e-06
"1711","Origin Story",4,0.02954229610283
"1712","Origin Story 2014",4,6.83898501032855e-06
"1713","Our Friend David",4,7.90416323283319e-06
"1714","Radio",4,0.0026974579646434
"1715","Rich Guys",4,0.0798984584986829
"1716","Sentencing",4,0.117663268740788
"1717","Sibling Rivalry",4,8.6633521243449e-06
"1718","Simulated Worlds",4,7.19688522851168e-06
"1719","Sinatra",4,8.42315171820497e-06
"1720","Special Ed",4,7.78992711182497e-06
"1721","Stuck In The Middle",4,6.86991575755507e-06
"1722","Stuck in the Wrong Decade",4,6.58820563841483e-06
"1723","Superpowers",4,8.02951036226243e-06
"1724","Superpowers 2013",4,8.40197583479172e-06
"1725","Testosterone",4,7.6038165019406e-06
"1726","The Kids Are Alright",4,0.00251673924181004
"1727","This Week",4,0.000946496718270988
"1728","Twentieth Century Man",4,7.45538392837934e-06
"1729","Vacations",4,0.00388946863538977
"1730","What Remains",4,7.72421144874037e-06
"1731","A Front",4,0.00214198296557107
"1732","Name Change / No Theme",4,0.0543022611967791
"1733","Kids As Adults",4,7.41156716166577e-06
"1734","Auto Show",4,6.9506480268624e-06
"1735","Stories Pitched by Our Parents",4,0.00368411330839144
"1736","Pimp Anthropology",4,7.57623561668369e-06
"1737","Leaving the Fold",4,0.0846535055194174
"1738","The Job That Takes Over Your Life",4,7.61334484686509e-06
"1739","Accidental Documentaries",4,8.51327638287335e-06
"1740","American Limbo",4,6.703848129707e-06
"1741","Americans in China",4,0.0152466097835423
"1742","Anger and Forgiveness",4,0.0202730647100973
"1743","Barbara",4,0.006772670303878
"1744","Conventions",4,7.9978007604752e-06
"1745","Dawn",4,7.45455311507918e-06
"1746","Day At The Beach",4,7.31904221354809e-06
"1747","Fall Clearance Sale",4,6.76423218660946e-06
"1748","Father's Day '96",4,7.87621832315201e-06
"1749","Fiasco!",4,3.76927498439026e-06
"1750","I Was So High",4,0.019918032146747
"1751","Million Bubbles",4,8.16288067899318e-06
"1752","Miracle Cures",4,0.0488748242566035
"1753","More Is Less",4,0.710710658192172
"1754","My Big Break",4,6.79725414186294e-06
"1755","NUMMI",4,0.66803371581789
"1756","Primary",4,0.0969184232931725
"1757","Sales",4,6.88619569389542e-06
"1758","Secret Government",4,0.0322507453893438
"1759","Sink or Swim",4,7.11490975051908e-06
"1760","Spies Like Us",4,6.85933993885637e-06
"1761","Take A Negro Home",4,0.0249858680700905
"1762","Ten Years In",4,6.06123555926082e-06
"1763","The Middle of Nowhere",4,0.0518024810875201
"1764","The Real Thing",4,7.59258714921302e-06
"1765","Time to Save the World",4,7.20076242114628e-06
"1766","Tough Room",4,6.64783842550239e-06
"1767","Tough Room 2011",4,6.95137006531575e-06
"1768","Trek",4,0.262781199440671
"1769","Two Nations, One President",4,0.570925647733209
"1770","Welcome to America",4,7.68159645978542e-06
"1771","What Kind of Country",4,0.365198653922777
"1772","You Are Here",4,7.02147515579369e-06
"1773","You Gonna Eat That?",4,7.62376434214323e-06
"1774","Plan B",4,6.62214985836942e-06
"1775","Propriety",4,0.0893626672250959
"1776","Reruns",4,7.30624120108044e-06
"1777","Houses of Ill Repute",4,0.116081419010019
"1778","Letters",4,8.66110750002885e-06
"1779","Crime Scene",4,7.58139217222836e-06
"1780","Regrets, I've Had a Few",4,7.79083554126005e-06
"1781","Your Dream, My Nightmare",4,7.92008559859524e-06
"1782","Amateur Hour",4,6.96513497415915e-06
"1783","Basketball",4,7.59603858087404e-06
"1784","Be Careful Who You Pretend to Be",4,7.15911108935632e-06
"1785","Bob Dole",4,7.54885271246218e-06
"1786","Can You Fight City Hall…If You Are City Hall?",4,0.397654918392797
"1787","Cops See It Differently, Part One",4,6.06783865389975e-06
"1788","Election",4,0.268006082513079
"1789","Factions",4,0.34871444682134
"1790","Family Physics",4,7.68955258537083e-06
"1791","Home Movies",4,6.52389810515747e-06
"1792","I Enjoy Being A Girl, Sort Of",4,0.00507011282993156
"1793","Immigration",4,0.0351951314296947
"1794","In Country",4,7.27047479585925e-06
"1795","It's Never Over",4,0.00232842913699189
"1796","Last Words",4,8.15989002955779e-06
"1797","Lights, Camera, Christmas!",4,1.02230130121158e-05
"1798","Nobody's Family Is Going to Change",4,7.23427498577734e-06
"1799","Numbers",4,0.0297563692486725
"1800","Parent Trap",4,7.24133013887197e-06
"1801","Regime Change",4,0.135118872191589
"1802","Return to Childhood",4,7.66485765169256e-06
"1803","Secret Life of Daytime",4,7.77000463689958e-06
"1804","Should I Stay or Should I Go?",4,0.00617546645415177
"1805","Social Contract",4,0.635859310074528
"1806","The Incredible Case of the P.I. Moms",4,6.65379302977613e-06
"1807","The Leap",4,6.82571446589808e-06
"1808","The Parrot and the Potbellied Pig",4,7.31103552731207e-06
"1809","True Urban Legends",4,0.00479655301610193
"1810","Truth and Lies at Age Ten",4,7.25705490231792e-06
"1811","Unconditional Love",4,7.29826195686799e-06
"1812","Use Only as Directed",4,0.132545145523258
"1813","Valentine’s Day ’98",4,7.46120882628704e-06
"1814","War Stories",4,7.61941965653923e-06
"1815","Will They Know Me Back Home?",4,7.68954895993911e-06
"1816","81 Words",4,7.38291307113637e-06
"1817","Ask An Expert",4,7.33591225397357e-06
"1818","Big Tent",4,0.491350977671966
"1819","Own Worst Enemy",4,6.69713078959572e-06
"1820","Neighbors",4,0.0014650246954894
"1821","Name Change",4,7.29268897752441e-06
"1822","Later That Same Day",4,7.22958120956374e-06
"1823","Georgia Rambler",4,6.62346222092433e-06
"1824","Is That What I Look Like?",4,7.12021383920902e-06
"1825","Something for Nothing",4,0.0154530296986222
"1826","Godless America",4,0.0766672096854847
"1827","A Teenager's Guide to God",4,6.40572298060574e-06
"1828","Apocalypse",4,0.229499740314254
"1829","Apology",4,0.00842657688671886
"1830","By Proxy",4,7.02516587283273e-06
"1831","Fake I.D.",4,7.14075350589274e-06
"1832","Ghosts of Elections Past",4,7.27839444449858e-06
"1833","Golden Calf",4,0.00577951904815389
"1834","Gossip",4,6.97895222269231e-06
"1835","Got Your Back",4,6.55011181750035e-06
"1836","High Cost of Living",4,7.84663185845039e-06
"1837","Invisible Made Visible",4,8.99687980729497e-06
"1838","Know Your Enemy",4,6.98770786093368e-06
"1839","Like It or Not",4,7.62463469549822e-06
"1840","Lost in Translation",4,7.77814227392626e-06
"1841","Love",4,9.37286416936383e-06
"1842","Nemeses",4,7.24211562412148e-06
"1843","Nice Work If You Can Get It",4,0.0424207030314326
"1844","No Place Like Home",4,6.7944882578429e-06
"1845","Office Politics",4,0.00635640499950432
"1846","Parental Guidance Suggested",4,7.40007813034708e-06
"1847","Perfect Evidence",4,6.92544009325468e-06
"1848","Politics",4,0.0173893184860478
"1849","Pursuit of Happiness",4,7.20697336033319e-06
"1850","Recordings for Someone",4,7.51828143149258e-06
"1851","Save the Day",4,6.64387314363981e-06
"1852","Suckers",4,0.0177196103678852
"1853","The Annoying Gap Between Theory...and Practice",4,0.30842529685812
"1854","The Invention of Money",4,0.722717926834347
"1855","The Psychopath Test",4,7.28632876016437e-06
"1856","The Super",4,0.033831422401551
"1857","This I Used to Believe",4,0.0440186967671519
"1858","Wait - Do You Have The Map?",4,6.82431987872345e-06
"1859","We Didn’t",4,7.09753091242023e-06
"1860","What You Lookin’ At?",4,8.58876111503044e-06
"1861","Harold",4,0.519213792626444
"1862","Middle of the Night",4,0.00263566961588418
"1863","Justice",4,7.33913430592117e-06
"1864","Poultry Slam 2011",4,6.8932960859073e-06
"1865","Defying Sickness",4,9.31408606934324e-06
"1866","Teenage Embed, Part Two",4,7.70728284067464e-06
"1867","Somewhere in the Arabian Sea",4,6.36666955126876e-06
"1868","Windfall",4,0.0798499503586592
"1869","2010",4,0.169988853452959
"1870","And the Call Was Coming from the Basement",4,7.49888139691394e-06
"1871","David and Goliath",4,0.13646632536038
"1872","Going Big",4,6.7492057241993e-06
"1873","Habeas Schmabeas",4,0.00101797463339737
"1874","Habeas Schmabeas 2007",4,0.00427855042668606
"1875","Hiding in Plain Sight",4,7.15298223557888e-06
"1876","It Says So Right Here",4,0.0635334037700983
"1877","Mapping",4,7.65257169280045e-06
"1878","Mr. Daisey and the Apple Factory",4,0.0324198933319707
"1879","My Two Cents",4,0.194294575256965
"1880","Neighborhood Watch",4,7.24525635772625e-06
"1881","Special Treatment",4,7.12249126895502e-06
"1882","Take the Money and Run for Office",4,0.689558753147679
"1883","The Prosecutor",4,0.00716205737423199
"1884","Very Tough Love",4,5.94795945334603e-06
"1885","Wake Up Now",4,0.21025542590198
"1886","When Patents Attack!",4,0.317236963505851
"1887","When Patents Attack... Part Two!",4,0.314920721981659
"1888","Back from the Dead",4,6.27521219016249e-06
"1889","Guns",4,0.00797871668114035
"1890","Classifieds",4,7.67718298576595e-06
"1891","Crush",4,7.55995200512972e-06
"1892","Democratic Convention",4,0.0679227184160774
"1893","Got You Pegged",4,6.85020041045861e-06
"1894","Say Anything",4,8.2261744036189e-06
"1895","Christmas",4,7.63596043970813e-06
"1896","Prom",4,0.00123343029569464
"1897","Right to Remain Silent",4,6.30362074209451e-06
"1898","Americans In Paris",4,7.07798824637654e-06
"1899","Escape the Box",4,7.75918131587198e-06
"1900","Moving",4,7.35124245000417e-06
"1901","The Fix Is In",4,0.112181124221653
"1902","Valentine’s Day ’99",4,9.04680920877543e-06
"1903","How We Talked Back Then",4,7.45538354845133e-06
"1904","Middlemen",4,0.0242057009349386
"1905","Scenes from A Transplant",4,7.67101558633473e-06
"1906","Shoulda Been Dead",4,8.3442817200101e-06
"1907","Throwing the First Punch",4,7.35528841153604e-06
"1908","Pro Se",4,6.95715749330451e-06
"1909","Republican Convention",4,0.0172989443107284
"1910","The Alibi",4,6.43966743404853e-06
"1911","The This American Life Holiday Spectacular",4,7.89669250702713e-06
"1912","What Is This Thing?",4,7.09376462631665e-06
"1913","Crybabies",4,0.527067380790695
"1914","180 Degrees",4,7.05631896883751e-06
"1915","Christmas and Commerce",4,7.54118596707263e-06
"1916","Amusement Park",4,6.47272111819737e-06
"1917","Cringe",4,7.13922792277265e-06
"1918","Return to Childhood 2008",4,8.02565291698022e-06
"1919","Self-Improvement Kick",4,0.0775063546936644
"1920","The Ten Commandments",4,7.10130075088897e-06
"1921","One of Us",4,0.00519200120995915
"1922","Show Me the Way",4,7.24997082343722e-06
"1923","The Cruelty of Children",4,7.53523560908545e-06
"1924","Hitler’s Yacht",4,6.90183970824764e-06
"1925","Fire",4,7.74210379157437e-06
"1926","A Night at the Wiener Circle",4,0.0108956187201127
"1927","Send a Message",4,6.99502103977619e-06
"1928","Adult Children",4,9.38471038772191e-06
"1929","Star-Crossed Love",4,7.17910368616199e-06
"1930","Small Scale Sin",4,7.05333969175555e-06
"1931","Julia Sweeney",4,7.11718141564516e-06
"1932","Wrong Side of History",4,0.440417632985954
"1933","Monogamy",4,7.8669498760856e-06
"1934","Mind Your Own Business",4,7.11642440939423e-06
"1935","Father’s Day ‘99",4,7.56166170144664e-06
"1936","Faustian Bargains",4,0.0267382349461778
"1937","Mob Mentality",4,7.36420147495065e-06
"1938","Social Engineering",4,7.45621638291927e-06
"1939","One Thing",4,8.02372497035699e-06
"1940","Adventures in the Simple Life",4,7.69574790786399e-06
"1941","Infidelity",4,7.79901822270688e-06
"1942","Poultry Slam 2008",4,7.18064767236266e-06
"1943","Allure of Crime",4,0.0103072457875915
"1944","The View From In Here",4,6.41186887596778e-06
"1945","If You Don’t Have Anything Nice to Say, SAY IT IN ALL CAPS",4,6.95715828102542e-06
"1946","In Dog We Trust",4,7.47121851995269e-06
"1947","Cat and Mouse",4,7.05780811468913e-06
"1948","First Day",4,7.50056315393836e-06
"1949","Know When To Fold ‘Em",4,7.30225064988538e-06
"1950","Mortal Vs. Venial",4,0.0370961238436114
"1951","My Reputation",4,0.0704891590650844
"1952","Ruining It for the Rest of Us",4,0.00620348632743744
"1953","The Cat Came Back",4,0.0785592484569907
"1954","The Missing Parents Bureau",4,6.74648112042076e-06
"1955","Somewhere Out There",4,6.95426318258883e-06
"1956","Reap What You Sow",4,0.140021133931344
"1957","20 Acts in 60 Minutes",4,7.32144765702806e-06
"1958","Media Fringe",4,7.39026082880502e-06
"1959","Telephone",4,8.72442028540103e-06
"1960","Not What I Signed Up For",4,6.4595850959364e-06
"1961","Mistakes Were Made",4,7.42721709756574e-06
"1962","How to Talk to Kids",4,6.97749379801392e-06
"1963","Lost in America",4,8.31418052082476e-06
"1964","Fine Print",4,0.535225674334763
"1965","Fine Print 2011",4,0.597950035323491
"1966","Act V",4,7.84294629843992e-06
"1967","Away From Home",4,9.29465611092973e-06
"1968","Drama Bug",4,8.08096223043032e-06
"1969","Comedians of Christmas Comedy Special",4,8.39247785805818e-06
"1970","The Angels Wanna Wear My Red Suit",4,7.8873737991985e-06
"1971","How to Win Friends and Influence People",4,7.15221664906706e-06
"1972","Mother’s Day",4,7.35609632505882e-06
"1973","Scenes From a Recession",4,0.338204593398727
"1974","Tribes",4,6.89756617271935e-06
"1975","A Better Mousetrap",4,0.0466359110306102
"1976","A Better Mousetrap 2008",4,0.370416801826468
"1977","Another Frightening Show About the Economy",4,0.762398104597648
"1978","Economy",4,0.258689646477691
"1979","Good Guys",4,7.47121885929821e-06
"1980","Harper High School - Part Two",4,6.40020184962533e-06
"1981","Hit the Road",4,0.0039382784731279
"1982","How to Take Money from Strangers",4,0.00587625229694233
"1983","I Was Just Trying To Help",4,0.142131381535668
"1984","In the Shadow of the City",4,6.86074645410899e-06
"1985","Is This Working?",4,6.21799877652343e-06
"1986","It's Not the Product, It's the Person",4,0.0580872461967714
"1987","Million Dollar Idea",4,0.227245630481432
"1988","Other People's Mail",4,7.16832567279365e-06
"1989","Petty Tyrant",4,0.00316189536140319
"1990","Quitting",4,9.27659759049881e-06
"1991","See No Evil",4,0.00388817523367483
"1992","Small Towns",4,7.65695548474912e-06
"1993","Switcheroo",4,0.0267327167717035
"1994","Teenaged Girls",4,7.71885358868374e-06
"1995","The New Boss",4,0.488980528588867
"1996","The Radio Drama Episode",4,5.75091798050829e-06
"1997","Toxie",4,0.719989106235757
"1998","Valentine’s Day 2008",4,7.13770275728039e-06
"1999","A House Divided",4,0.13849357862907
"2000","Adventure!",4,6.73356620719204e-06
"2001","Advice",4,0.0216352292082991
"2002","Animal Sacrifice",4,7.59603986871368e-06
"2003","Animals",4,3.81488513977712e-06
"2004","Arms Trader 2009",4,0.00143929900640546
"2005","Babysitting",4,7.66046528082084e-06
"2006","Bedside Diplomacy",4,6.79103839908057e-06
"2007","Best Interests",4,7.19920935349849e-06
"2008","Birthdays, Anniversaries, and Milestones",4,7.88830448870549e-06
"2009","Break-Up",4,0.0231481566106633
"2010","Brother’s Keeper",4,7.40171753696352e-06
"2011","Call For Help",4,0.212161060673975
"2012","Confessions",4,6.77382939142321e-06
"2013","Death and Taxes",4,0.0589007186499283
"2014","Delivery",4,0.00266963417882477
"2015","Didn’t Ask to Be Born",4,7.16755467615708e-06
"2016","DIY",4,6.73085182281964e-06
"2017","Duty Calls",4,6.82920214057918e-06
"2018","Edge of Sanity",4,7.68954961941576e-06
"2019","Enemy Camp",4,7.26731283272089e-06
"2020","Enemy Camp 2010",4,7.33188782800338e-06
"2021","Enforcers",4,0.468224298979765
"2022","Faith",4,0.0536696591181899
"2023","Fear of Sleep",4,7.49467577419415e-06
"2024","Frenemies",4,7.49383643396534e-06
"2025","Give the People What They Want",4,6.92544058347601e-06
"2026","Hoaxing Yourself",4,0.00158163768293096
"2027","I'm From the Private Sector and I'm Here to Help",4,6.89329805493687e-06
"2028","I’m In Charge Now",4,7.24604124858163e-06
"2029","Island Time",4,6.67573002344831e-06
"2030","Life After Death",4,7.25941991259197e-06
"2031","Living Without (2011)",4,7.87343570895778e-06
"2032","Magic Words",4,6.89970309974632e-06
"2033","Matchmakers",4,6.82920138894233e-06
"2034","Meet the Pros",4,0.0074474001094296
"2035","Middle School",4,6.60382850953138e-06
"2036","Mob",4,7.6316000830357e-06
"2037","My Experimental Phase",4,7.75827835280543e-06
"2038","My Pen Pal",4,7.39189450625256e-06
"2039","New Beginnings",4,7.85585401198132e-06
"2040","Picture Show",4,6.76491636590329e-06
"2041","Poultry Slam 1995",4,7.91258390455308e-06
"2042","Poultry Slam 1996",4,8.39669581577378e-06
"2043","Poultry Slam 1998",4,7.62985594339658e-06
"2044","Promised Land",4,7.4189717984164e-06
"2045","Quiz Show",4,7.16064556584669e-06
"2046","Rashomon",4,7.61334395668821e-06
"2047","Remember Me",4,0.00907103657760554
"2048","Rest Stop",4,6.72949743286014e-06
"2049","Return To The Scene Of The Crime",4,7.99206383050677e-06
"2050","Road Trip!",4,6.92543845680324e-06
"2051","Scenes From a Mall",4,6.57330375520833e-06
"2052","Seemed Like A Good Idea at the Time",4,0.00763665613245823
"2053","Slow To React",4,6.65445634518347e-06
"2054","Summer",4,7.77723714757497e-06
"2055","Tarred and Feathered",4,7.11036658505247e-06
"2056","The Arms Trader",4,0.00132876459906115
"2057","The Audacity of Government",4,0.497456627305833
"2058","The Balloon Goes Up",4,7.54544285976324e-06
"2059","The Competition",4,0.0376611548118543
"2060","The Convert",4,6.99648491386214e-06
"2061","The Devil in Me",4,6.94054137289178e-06
"2062","The Friendly Man",4,7.09075338380101e-06
"2063","The One Thing You're Not Supposed To Do",4,7.14609832487157e-06
"2064","The Spokesman",4,6.52772169341748e-06
"2065","The Truth Will Out",4,7.84847463453812e-06
"2066","This Call May Be Recorded... To Save Your Life",4,7.40171933908697e-06
"2067","This Is Not My Beautiful House",4,6.67306036909181e-06
"2068","Three Women and the Sex Industry",4,7.284738930833e-06
"2069","Thugs",4,7.27363911689012e-06
"2070","Turncoat",4,6.68908833487081e-06
"2071","Two Steps Back",4,0.00514727752710985
"2072","Valentine’s Day",4,6.61690536048852e-06
"2073","What I Did For Love",4,6.70183119905406e-06
"2074","What I Should’ve Said",4,0.0457202284983151
"2075","Who Can You Save?",4,6.45334767786463e-06
"2076","With Great Power",4,7.52251426817409e-06
"2077","Obsession",4,8.0614680186203e-06
"2078","Someone to Watch Over Me",4,7.86324701605943e-06
"2079","Invisible Worlds",4,8.04013449056815e-06
"2080","The Bridge",4,7.05557416363748e-06
"2081","Before and After",4,7.27126638736322e-06
"2082","500!",4,6.94559098223983e-06
"2083","Detectives",4,7.89389546528565e-06
"2084","Cops See It Differently, Part Two",4,6.17035298926854e-06
"2085","How To",4,0.00591748028957375
"2086","A Very Special Sedaris Christmas",4,0.00998519950886967
"2087","Backed Into A Corner",4,6.90041447244412e-06
"2088","Devil on My Shoulder",4,7.26889369380826e-06
"2089","Dr. Gilmer and Mr. Hyde",4,6.99575344589676e-06
"2090","Enemies",4,6.97822452159815e-06
"2091","Enemy Camp ‘04",4,7.4263906078323e-06
"2092","Except For That One Thing",4,0.0137539802363648
"2093","Family Legend",4,7.36663780370968e-06
"2094","First Contact",4,7.80904116082652e-06
"2095","Game Changer",4,0.250595765996574
"2096","Garbage",4,7.22879908086063e-06
"2097","High Speed Chase",4,7.05259400750652e-06
"2098","How Bad Is Bad?",4,7.32064590181544e-06
"2099","Iraq After Us",4,7.0548288917586e-06
"2100","Kid Politics",4,0.355654851032443
"2101","Last Man Standing",4,0.0175679963040455
"2102","Liars",4,8.12220912896972e-06
"2103","Living the Dream",4,7.11188077948599e-06
"2104","Long Shot",4,6.99063218094213e-06
"2105","Man vs. History",4,7.20541940487612e-06
"2106","Music Lessons",4,8.09956830933079e-06
"2107","Original Recipe",4,0.0277173096965597
"2108","Poultry Slam 2003",4,7.90509579883415e-06
"2109","Pray",4,0.00279522798575665
"2110","Sissies",4,0.0669691286012059
"2111","Starting from Scratch",4,7.24604012649254e-06
"2112","Stories of Loss",4,7.75917955531226e-06
"2113","Tales from the Net",4,7.83191752684112e-06
"2114","The Other Man",4,0.0304069714055738
"2115","The Sanctity of Marriage",4,0.2990412718711
"2116","The Seven Things You’re Not Supposed to Talk About",4,7.26652413306997e-06
"2117","Three Miles",4,6.85793052430324e-06
"2118","Trends With Benefits",4,0.202224660853391
"2119","Why We Fight",4,6.64651717559591e-06
"2120","After the Flood",4,6.69713213482709e-06
"2121","Business of Death",4,7.99971575181319e-06
"2122","Character Assassination",4,0.450627161081219
"2123","Contents Unknown",4,0.00138880826642405
"2124","Dead Men Tell No Tales",4,7.0869924889678e-06
"2125","Doppelgängers",4,7.28235881261195e-06
"2126","Double Lives",4,8.80951413003817e-06
"2127","Fall Guy",4,0.132626966028801
"2128","Getting and Spending",4,0.0692001470776965
"2129","Go Ask Your Father",4,7.1202145826853e-06
"2130","Held Hostage",4,0.00743626340755774
"2131","Home Alone",4,6.57718515143676e-06
"2132","How I Got Into College",4,0.000905912132848253
"2133","How to Rest in Peace",4,7.33188734256577e-06
"2134","Living Without",4,0.000339639316655894
"2135","Lockup",4,6.88761457800118e-06
"2136","Memo to the People of the Future",4,0.0185064787292887
"2137","Not What I Meant",4,6.93982039322899e-06
"2138","Oh You Shouldn't Have",4,7.06676315445756e-06
"2139","Reunited (And It Feels So Good)",4,7.52759842551474e-06
"2140","Running After Antelope",4,7.0548279684171e-06
"2141","Secret Identity",4,7.40499811669287e-06
"2142","Settling the Score",4,6.75944462321507e-06
"2143","Switched At Birth",4,7.41814814515771e-06
"2144","The Ghost of Bobby Dunbar",4,8.03047207813829e-06
"2145","The Secret Recordings of Carmen Segarra",4,0.707176852452824
"2146","Urban Nature",4,7.76098239678845e-06
"2147","Where Words Fail",4,7.55567877183366e-06
"2148","You Are So Beautiful…To Me",4,7.41156534991697e-06
"2149","Kid Logic",4,7.48292872255743e-06
"2150","Lessons",4,7.39025849001182e-06
"2151","Ties That Bind",4,7.67365673376001e-06
"2152","Red State Blue State",4,0.436223150476004
"2153","Allure of the Mean Friend",4,0.00165291483259824
"2154","Come Back to Afghanistan",4,7.77633283679461e-06
"2155","Death to Wacky",4,0.0496712247417631
"2156","Big Wide World",4,6.63595641038157e-06
"2157","Blackjack",4,0.000817046788763205
"2158","Mind Games",4,0.000817046788763205
"2159","What Happened At Dos Erres",4,0.000817046788763205
"2160",NA,4,0.00759323196051215
"2161","Put Your Heart In It",5,0.00330957561608895
"2162","Strangers in a Strange Land",5,6.4884313137109e-06
"2163","Taking Names",5,7.28871170347224e-06
"2164","What’s In A Number?",5,6.27167849253582e-06
"2165","What’s In A Number? — 2006 Edition",5,6.11726577221555e-06
"2166","Bait and Switch",5,0.0104280005670534
"2167","Ground Game",5,0.554482190534498
"2168","Swing Set",5,0.263935643704843
"2169","Inside Job",5,6.61232303900165e-06
"2170","Return To The Giant Pool of Money",5,6.75124867999768e-06
"2171","The Giant Pool of Money",5,6.61559299696809e-06
"2172","The Center for Lessons Learned",5,6.50105346139579e-06
"2173","The Watchmen",5,7.43630386222546e-06
"2174","A Not-So-Simple Majority",5,6.89329747699679e-06
"2175","No Map",5,6.38552626871828e-06
"2176","Play the Part",5,0.0896643164555053
"2177","This Party Sucks",5,0.248849899764792
"2178","Father's Day 2011",5,6.7240814026265e-06
"2179","Old Boys Network",5,6.73492285934689e-06
"2180","129 Cars",5,0.552285762272196
"2181","#1 Party School",5,0.529971686690024
"2182","A Little Bit of Knowledge",5,7.16294784789215e-06
"2183","Back to Penn State",5,0.559561637787065
"2184","Continental Breakup",5,7.07798728907026e-06
"2185","Four Corners",5,7.48712165515636e-06
"2186","Get Over It!",5,7.64469423032896e-06
"2187","Halloween",5,8.0314384181777e-06
"2188","House on Loon Lake",5,7.48209067801348e-06
"2189","I Know What You Did This Summer",5,8.16487357721236e-06
"2190","New Year",5,0.279271860495786
"2191","Niagara",5,7.13999108664442e-06
"2192","Someone Else's Money",5,6.49536657714942e-06
"2193","The Facts Don’t Matter",5,6.92615637977733e-06
"2194","What I Learned from Television",5,0.276067869544173
"2195","Haunted",5,8.02565211309603e-06
"2196","24 Hours at the Golden Apple",5,0.253281354155957
"2197","Bad Baby",5,6.93046604316751e-06
"2198","Bad Bank",5,6.52325966972155e-06
"2199","Fake Science",5,0.37605371423991
"2200","Family Business",5,7.68512925719189e-06
"2201","Give It to Them",5,7.37557904940166e-06
"2202","Hot In My Backyard",5,6.58690901458792e-06
"2203","House Rules",5,7.34316701911754e-06
"2204","How To Create a Job",5,7.23271142097889e-06
"2205","Shouting Across the Divide",5,7.80083864876531e-06
"2206","So Crazy It Just Might Work",5,6.75329656472733e-06
"2207","Surrogates",5,7.50561900006032e-06
"2208","The Inauguration Show",5,0.314603919867732
"2209","This American Life’s Holiday Gift-Giving Guide",5,7.55824214261657e-06
"2210","Trail of Tears",5,0.474464849420518
"2211","When You Talk About Music",5,8.29148743453788e-06
"2212","Who's Canadian?",5,0.0423550191569065
"2213","Who Do You Think You Are?",5,7.48041821983105e-06
"2214","Before It Had A Name",5,8.14398054684347e-06
"2215","Poultry Slam 1997",5,7.95496367015516e-06
"2216","Dolls",5,7.57194287634482e-06
"2217","Hearts and Minds",5,8.13704101786486e-06
"2218","Image Makers",5,6.93118585266912e-06
"2219","Kindness of Strangers",5,0.0135838454415924
"2220","Leave the Mask On",5,7.53778508379031e-06
"2221","No Coincidence, No Story!",5,0.0153346709177246
"2222","Pinned by History",5,8.10841289201021e-06
"2223","Poultry Slam 1999",5,7.808128024008e-06
"2224","Poultry Slam 2007",5,7.80721473097938e-06
"2225","The Real Story",5,7.14304240202458e-06
"2226","Thought That Counts",5,7.10885547706336e-06
"2227","Three Kinds of Deception",5,7.21241686509003e-06
"2228","Valentine’s Day ‘97",5,7.99875807872389e-06
"2229","Them",5,7.75467950256817e-06
"2230","The Book That Changed Your Life",5,7.44956664202586e-06
"2231","Burroughs 101",5,7.85954759873581e-06
"2232","Animals Die, People Ponder",5,7.36988650022592e-06
"2233","Batman",5,7.28553392800818e-06
"2234","Blame It on Art",5,7.54203667391983e-06
"2235","Cicero",5,0.0147906351246622
"2236","Desperate Measures",5,7.18141891438056e-06
"2237","Do-Gooders",5,7.03700170515153e-06
"2238","Dream House",5,7.53693350330554e-06
"2239","Father's Day '01",5,7.84478913675861e-06
"2240","Father’s Day ‘98",5,6.76217848258718e-06
"2241","From A Distance",5,6.81735800931001e-06
"2242","Heretics",5,0.00618801909845288
"2243","Human Resources",5,7.71173140586471e-06
"2244","Human Spectacle",5,7.55995234714969e-06
"2245","Ladies and Germs",5,6.89898894259305e-06
"2246","Lincoln's Second Inaugural",5,0.175493457897607
"2247","MacGyver",5,6.70721188205964e-06
"2248","My Brilliant Plan",5,7.27759952409555e-06
"2249","Naming Names",5,7.03033896994e-06
"2250","Notes on Camp",5,7.04590347114752e-06
"2251","Origin Story",5,6.78276641174011e-06
"2252","Origin Story 2014",5,6.83898380800633e-06
"2253","Our Friend David",5,7.90416368238177e-06
"2254","Radio",5,7.13008942494458e-06
"2255","Rich Guys",5,7.59000076367255e-06
"2256","Sentencing",5,0.0770219380841944
"2257","Sibling Rivalry",5,8.66335159845284e-06
"2258","Simulated Worlds",5,0.463737774142567
"2259","Sinatra",5,8.4231509430933e-06
"2260","Special Ed",5,7.78992896874752e-06
"2261","Stuck In The Middle",5,6.86991657261465e-06
"2262","Stuck in the Wrong Decade",5,0.290198017840534
"2263","Superpowers",5,8.02950860969928e-06
"2264","Superpowers 2013",5,8.40197454248238e-06
"2265","Testosterone",5,7.60381721829053e-06
