id,region1,region2,region3,region4,homeowner,n_children,hh_income,female,wealth_rating,avg_home_value,median_neighborhood_income,avg_neighborhood_income,pct_low_income,lifetime_promotions_received,lifetime_gifts,largest_gift,most_recent_gift,months_since_gift,gift_time_lag,average_gift_amount,donor,damt
370,1,0,0,0,1,0,3,1,9,170,16,35,35,71,116,19,20,17,14,10.83,1,14
379,0,1,0,0,1,0,5,0,5,101,42,42,12,143,248,13,8,15,3,6.34,1,14
380,0,1,0,0,1,1,4,1,9,225,35,46,8,40,78,23,24,23,4,11.19,1,14
422,0,1,0,0,1,2,5,1,9,110,22,26,34,76,175,15,15,23,5,8.4,1,14
435,0,1,0,0,1,0,7,1,7,101,20,38,27,62,78,6,8,19,7,5.06,1,14
438,0,1,0,0,1,3,4,1,8,84,22,22,25,92,163,32,22,19,5,27.73,1,14
441,1,0,0,0,1,0,2,0,8,233,53,53,5,73,94,30,15,14,8,15.48,1,14
443,0,1,0,0,1,0,4,0,3,184,41,46,8,92,127,24,15,16,25,16,1,14
444,0,1,0,0,1,0,4,0,8,167,16,60,19,79,105,20,11,35,6,15.61,1,14
455,0,0,0,1,1,2,4,0,8,162,19,36,22,78,108,14,7,13,3,12.29,1,14
469,0,0,0,0,1,0,4,0,8,324,87,118,0,44,63,18,10,18,4,12.57,1,14
481,0,0,0,0,1,0,2,1,6,334,62,77,2,46,91,12,12,14,6,11.68,1,14
491,0,1,0,0,1,0,4,0,8,118,21,35,22,30,53,17,13,18,3,10.27,1,14
494,0,1,0,0,1,2,4,1,7,148,42,42,13,37,62,20,11,17,5,11.43,1,14
513,0,0,1,0,1,0,3,0,9,207,32,59,5,81,160,14,13,24,19,8.05,1,14
537,0,1,0,0,1,0,5,1,6,236,65,79,4,41,63,6,5,16,7,4.73,1,14
539,1,0,0,0,1,0,4,1,9,270,70,95,2,55,74,24,12,17,5,17.68,1,14
565,0,1,0,0,1,0,1,0,5,351,78,81,1,88,135,48,31,19,6,12.06,1,14
586,0,1,0,0,1,3,4,1,8,257,77,82,0,44,76,23,29,22,5,11.53,1,14
600,0,1,0,0,1,2,2,0,8,315,60,78,1,87,128,51,28,22,3,14.25,1,14
614,0,1,0,0,1,2,4,1,9,127,35,35,15,33,52,26,20,20,7,21.82,1,14
633,0,1,0,0,1,0,3,1,8,175,53,70,4,20,46,21,29,18,13,12.87,1,14
642,0,1,0,0,1,4,4,1,9,190,36,66,6,101,227,22,23,18,7,17.38,1,14
654,0,0,0,0,1,0,4,0,7,159,36,42,14,35,46,13,12,20,12,8.41,1,14
655,0,1,0,0,1,3,5,1,8,172,34,54,11,38,56,13,12,19,3,15.17,1,14
662,0,0,0,0,1,1,3,0,8,103,33,37,12,62,90,20,12,16,3,7.79,1,14
666,1,0,0,0,1,0,4,0,2,132,18,43,26,30,70,23,12,19,12,13.75,1,14
688,0,1,0,0,1,2,5,0,8,310,68,164,2,108,285,15,14,16,3,9.25,1,14
701,0,1,0,0,0,0,5,0,8,347,46,104,2,76,129,15,8,23,5,12.4,1,14
711,1,0,0,0,1,2,4,0,8,207,50,55,4,81,101,38,34,18,7,16.48,1,14
726,0,0,0,0,1,0,4,1,3,193,34,71,3,92,189,16,13,14,7,10.27,1,14
753,0,1,0,0,1,2,4,0,7,256,104,104,0,125,286,16,7,21,3,7.03,1,14
788,0,0,0,0,1,0,3,1,8,140,42,44,8,98,158,10,12,13,9,6.42,1,14
836,1,0,0,0,1,1,5,0,8,124,21,27,34,75,144,9,11,18,3,6.75,1,14
840,0,1,0,0,1,3,4,1,8,160,45,51,7,86,108,22,21,13,6,13.74,1,14
868,0,1,0,0,1,4,4,1,8,330,61,100,1,40,87,38,29,22,6,13.52,1,14
878,0,1,0,0,1,0,1,0,9,152,37,49,22,38,49,20,8,18,9,15.03,1,14
893,0,0,0,1,1,0,4,1,8,188,50,50,8,24,50,8,2,23,11,10.34,1,14
902,0,1,0,0,1,0,2,0,9,126,46,46,10,55,120,11,8,11,13,10.17,1,14
903,0,1,0,0,1,2,2,1,8,137,34,46,28,87,274,14,8,24,5,11.52,1,14
922,0,0,1,0,1,0,4,0,8,168,21,43,38,51,106,8,6,23,4,5.98,1,14
933,0,0,0,0,1,0,4,1,5,152,40,48,14,116,237,22,8,14,7,10.54,1,14
936,0,1,0,0,1,2,5,0,9,114,31,45,11,148,259,10,8,24,3,6.67,1,14
950,1,0,0,0,1,0,4,1,5,106,12,31,38,49,82,14,19,22,4,15.65,1,14
960,0,1,0,0,1,2,5,1,9,195,51,83,3,95,177,18,14,13,4,12.37,1,14
968,0,1,0,0,1,2,4,1,9,129,37,37,24,33,73,23,16,16,3,12.38,1,14
982,1,0,0,0,1,0,4,1,8,98,20,26,39,80,167,13,12,19,8,11.91,1,14
997,1,0,0,0,1,1,4,1,8,122,39,39,12,62,124,31,13,18,5,9.99,1,14
1011,0,0,0,0,1,0,3,0,6,234,78,85,0,96,293,7,6,21,9,7.15,1,14
1057,0,0,0,0,1,0,4,0,4,139,27,36,10,74,130,14,11,12,6,19.08,1,14
1092,1,0,0,0,1,0,4,1,8,359,88,96,0,76,153,7,3,21,6,5.85,1,14
1102,0,1,0,0,1,2,4,0,7,147,36,38,22,83,215,8,7,20,3,10.97,1,14
1128,0,0,1,0,1,1,4,1,9,67,25,30,28,28,43,17,11,21,7,7.72,1,14
1130,0,0,0,0,1,0,3,1,9,174,40,45,14,126,1940,13,10,16,23,6.39,1,14
1149,0,0,0,0,1,0,4,1,8,151,43,51,5,90,90,9,5,17,4,7.54,1,14
1153,0,1,0,0,1,0,6,1,8,144,26,46,17,26,60,17,18,24,6,11.22,1,14
1179,0,0,0,0,1,0,5,1,8,196,30,51,13,64,88,13,9,20,14,7.85,1,14
1181,0,1,0,0,1,0,3,0,9,130,38,44,32,33,45,17,19,19,5,16,1,14
1185,0,1,0,0,1,2,5,0,9,194,73,73,2,15,56,36,24,21,5,7.91,1,14
1202,0,0,1,0,1,2,4,0,8,164,56,56,4,62,127,14,11,16,3,8.05,1,14
1238,0,1,0,0,1,0,4,0,9,246,87,87,2,54,71,11,6,13,8,7.24,1,14
1245,0,1,0,0,1,2,4,0,7,162,27,43,24,63,76,17,14,18,5,13.76,1,14
1265,0,0,0,0,1,0,3,1,8,257,56,91,1,107,173,10,6,22,3,8.32,1,14
1271,0,1,0,0,1,5,4,1,7,488,145,159,0,56,98,25,25,20,7,20.31,1,14
1283,0,1,0,0,1,2,5,1,9,93,33,39,22,34,51,51,20,14,4,25.39,1,14
1287,1,0,0,0,1,2,4,0,8,221,59,62,4,49,99,17,16,19,4,12.97,1,14
1289,1,0,0,0,0,0,4,1,9,140,21,41,15,84,257,22,30,24,6,14.62,1,14
1294,0,0,1,0,1,0,3,1,8,155,37,50,19,39,68,10,4,20,7,6.54,1,14
1296,0,1,0,0,1,0,4,1,9,128,20,35,24,42,83,19,7,20,10,9.92,1,14
1351,0,1,0,0,1,1,5,1,5,375,78,125,0,90,136,7,9,17,21,5.74,1,14
1355,0,1,0,0,0,0,4,1,8,229,87,87,2,34,55,51,31,22,7,17.25,1,14
1365,0,0,1,0,1,2,4,1,9,230,43,60,10,73,129,11,15,13,4,7.85,1,14
1373,0,0,0,0,1,1,4,1,6,261,26,63,13,56,62,16,9,18,5,12.69,1,14
1384,0,1,0,0,1,0,4,1,9,168,33,43,12,50,78,19,21,16,6,9.51,1,14
1386,0,1,0,0,1,2,5,0,7,114,50,50,21,129,283,11,12,13,11,6.01,1,14
1391,0,1,0,0,1,2,4,1,7,118,27,34,20,117,463,11,7,14,10,6.99,1,14
1392,0,1,0,0,0,0,4,0,7,259,80,80,1,90,262,8,9,23,5,5.03,1,14
1448,0,1,0,0,1,1,4,0,9,177,46,53,3,42,73,12,10,24,7,11.3,1,14
1456,1,0,0,0,1,1,3,0,8,251,67,76,6,54,78,25,18,14,4,16.1,1,14
1465,0,1,0,0,1,2,5,1,6,196,49,74,6,106,184,14,10,16,7,10.68,1,14
1466,0,0,0,0,1,0,3,0,9,91,14,21,49,38,65,18,13,19,5,11.96,1,14
1475,1,0,0,0,1,0,4,0,7,131,35,47,10,82,145,4,2,21,7,4.18,1,14
1490,0,1,0,0,1,1,5,0,8,304,97,97,0,105,145,10,11,19,7,10.15,1,14
1506,0,1,0,0,1,0,2,1,6,114,27,40,14,38,44,27,28,23,3,15.55,1,14
1514,0,1,0,0,1,3,4,0,8,222,79,79,0,17,46,28,37,19,5,22.02,1,14
1515,0,1,0,0,1,0,7,1,9,198,46,63,14,70,149,11,7,21,7,9.59,1,14
1539,0,1,0,0,1,2,4,0,8,141,21,32,25,22,61,19,20,15,9,15.34,1,14
1546,0,1,0,0,1,3,5,1,8,186,29,55,6,61,109,20,13,17,7,11.51,1,14
1547,0,1,0,0,1,2,4,1,8,166,28,52,24,46,61,30,28,15,12,14.89,1,14
1571,1,0,0,0,1,0,3,1,8,320,34,58,12,74,103,14,18,17,4,9.68,1,14
1585,0,1,0,0,1,2,4,0,8,112,29,29,33,61,118,15,7,18,10,17.31,1,14
1615,0,1,0,0,1,2,4,0,8,134,18,28,18,85,117,62,23,22,3,23.6,1,14
1630,0,1,0,0,1,2,4,1,6,234,53,57,9,19,45,15,8,17,5,7.55,1,14
1655,0,1,0,0,1,0,3,0,8,98,28,30,25,53,81,14,8,15,3,9.02,1,14
1661,0,0,1,0,1,1,4,0,9,145,36,42,14,113,246,14,14,23,7,11.68,1,14
1677,0,1,0,0,1,1,4,1,5,319,83,100,0,28,49,7,12,18,6,7.38,1,14
1679,0,0,0,0,1,0,5,1,8,160,74,74,4,106,298,9,4,19,3,6.39,1,14
1688,0,0,0,0,1,1,4,0,9,228,58,67,4,44,70,23,23,18,7,14.43,1,14
1699,1,0,0,0,0,0,4,1,6,193,43,50,7,89,202,13,10,13,7,7.48,1,14
1703,0,1,0,0,1,2,4,1,9,154,24,44,16,36,66,56,28,17,7,20.25,1,14
1717,0,0,1,0,1,0,3,1,9,271,122,122,0,20,54,4,11,13,2,3.48,1,14
1720,0,1,0,0,1,3,4,1,8,241,54,70,1,105,314,40,16,17,17,17.35,1,14
1738,0,1,0,0,1,1,4,1,8,135,31,37,15,65,105,6,3,19,4,5.56,1,14
1753,1,0,0,0,1,0,2,1,9,307,38,85,4,33,56,44,21,19,6,27.31,1,14
1758,0,1,0,0,1,2,4,0,9,228,35,57,3,53,71,33,24,23,5,15.34,1,14
1760,0,0,1,0,1,0,4,1,9,224,40,48,9,87,122,11,6,22,5,8.05,1,14
1761,0,1,0,0,1,0,2,1,8,221,37,51,6,37,64,11,12,24,3,9.26,1,14
1781,0,1,0,0,1,1,3,0,8,66,8,20,66,89,242,13,7,22,6,5.79,1,14
1808,0,1,0,0,1,0,5,0,6,135,37,44,12,50,114,6,5,20,7,8.84,1,14
1825,0,1,0,0,1,2,4,0,2,156,52,52,11,38,95,80,39,22,6,20.65,1,14
1834,1,0,0,0,1,0,5,1,8,134,25,43,29,19,56,15,5,19,3,6.96,1,14
1839,0,1,0,0,1,2,4,1,8,281,68,71,4,41,50,18,22,22,3,19.87,1,14
1856,0,1,0,0,1,2,6,1,8,187,43,54,7,95,185,18,13,16,4,10.22,1,14
1889,0,0,0,0,1,0,4,1,9,186,40,41,18,59,61,20,12,22,5,11.14,1,14
1899,0,1,0,0,1,2,4,1,8,279,59,59,3,82,91,35,24,23,10,16.49,1,14
1931,1,0,0,0,1,2,3,0,9,105,34,38,17,143,247,21,18,14,3,12.72,1,14
1938,0,1,0,0,1,0,4,0,5,257,50,97,6,53,108,12,11,8,6,9.18,1,14
1949,1,0,0,0,1,0,4,0,9,203,50,69,6,12,41,24,15,16,7,8.83,1,14
1957,0,1,0,0,1,0,5,1,8,89,17,30,37,63,135,15,11,13,8,13.38,1,14
1968,1,0,0,0,1,0,4,0,8,292,88,99,0,52,79,11,8,16,3,10.39,1,14
1983,0,1,0,0,1,0,4,1,9,182,21,65,18,77,92,13,13,15,8,9.46,1,14
2005,0,0,0,1,1,0,4,0,8,227,39,68,9,125,372,3,1,20,7,4.85,1,14
2039,0,1,0,0,1,2,4,1,9,91,20,26,35,32,60,29,21,21,4,13.27,1,14
2054,1,0,0,0,1,0,5,1,9,164,31,53,12,104,206,13,10,19,5,9.09,1,14
2071,0,0,0,1,1,0,4,0,8,135,25,37,19,56,77,10,6,13,11,5.7,1,14
2074,0,0,0,0,1,0,4,1,8,111,28,32,41,52,76,4,4,16,6,4.82,1,14
2082,0,1,0,0,1,3,4,1,9,226,57,57,4,63,125,8,6,16,7,6.03,1,14
2092,1,0,0,0,1,3,4,0,8,408,67,136,0,21,52,13,13,22,5,8.05,1,14
2097,0,1,0,0,1,2,4,0,8,233,37,58,16,134,235,25,23,13,8,17.66,1,14
2114,0,1,0,0,1,2,5,1,8,202,34,48,3,60,127,15,18,19,3,8.72,1,14
2119,1,0,0,0,1,0,3,0,9,136,35,38,31,12,37,20,13,16,7,15.06,1,14
2121,0,0,0,1,1,0,2,1,9,197,27,39,9,95,366,14,12,16,3,7.63,1,14
2128,0,1,0,0,1,1,4,1,4,118,25,38,9,72,70,23,15,23,6,19.87,1,14
2136,1,0,0,0,1,1,4,0,7,74,19,22,45,52,66,6,4,22,6,6.13,1,14
2140,1,0,0,0,1,0,2,0,3,225,58,58,8,87,207,26,29,16,5,20.24,1,14
2177,0,0,0,0,1,0,5,0,8,160,29,54,18,113,243,11,7,20,5,8.4,1,14
2183,1,0,0,0,1,0,4,1,8,253,69,87,5,30,74,10,6,14,7,8.37,1,14
2199,0,0,0,0,1,2,4,1,9,197,84,84,3,114,232,17,20,23,5,8.29,1,14
2200,0,0,1,0,1,0,4,1,6,167,30,44,6,97,162,5,3,23,7,6.76,1,14
2201,1,0,0,0,1,0,4,1,8,164,31,50,20,120,177,19,17,11,6,7.74,1,14
2230,0,1,0,0,1,0,5,1,8,113,24,27,27,55,75,6,3,20,8,3.41,1,14
2237,1,0,0,0,1,0,4,1,8,161,52,74,3,90,136,13,17,21,5,8.99,1,14
2282,0,0,1,0,1,0,4,1,8,192,33,46,10,96,175,11,7,19,14,8.25,1,14
2291,1,0,0,0,1,2,4,1,8,242,73,73,4,96,118,14,14,22,7,11.6,1,14
2292,1,0,0,0,1,2,4,0,8,327,121,121,0,58,115,18,7,21,6,7.56,1,14
2293,0,1,0,0,1,1,4,0,8,314,147,147,0,84,111,19,17,14,5,11.12,1,14
2301,1,0,0,0,1,0,3,1,9,137,24,40,31,103,115,23,13,18,5,13.71,1,14
2333,0,1,0,0,1,0,4,0,4,102,31,31,21,77,102,35,15,13,9,11.45,1,14
2349,0,0,0,0,1,2,4,1,8,240,66,77,4,102,447,14,9,13,4,8.77,1,14
2351,0,1,0,0,1,2,4,0,8,117,13,22,43,82,165,20,13,13,5,12.3,1,14
2356,0,1,0,0,1,1,4,1,8,79,12,23,74,27,62,15,7,21,6,11.39,1,14
2359,1,0,0,0,1,0,6,0,9,132,34,44,13,54,164,6,3,21,5,5.2,1,14
2360,1,0,0,0,1,0,4,1,8,131,56,56,4,32,65,10,32,15,6,14.27,1,14
2364,0,1,0,0,1,2,4,0,8,142,64,64,18,76,114,22,13,17,17,10.47,1,14
2377,1,0,0,0,1,0,6,1,9,112,29,62,10,42,77,14,14,23,7,7.03,1,14
2383,1,0,0,0,1,3,4,1,8,243,86,86,0,55,77,27,32,11,6,24.25,1,14
2388,1,0,0,0,1,2,4,1,9,190,47,68,8,125,209,16,23,22,7,13.31,1,14
2421,1,0,0,0,1,0,5,1,9,124,23,32,35,78,113,13,7,16,4,9.28,1,14
2431,0,1,0,0,1,2,4,1,9,234,32,49,7,22,61,40,61,24,4,33.25,1,14
2471,1,0,0,0,1,2,4,1,9,176,34,65,11,49,72,19,26,15,3,8.83,1,14
2477,0,1,0,0,1,3,4,1,8,197,63,76,1,70,137,25,32,21,5,18.39,1,14
2479,0,0,1,0,1,0,4,1,9,165,29,51,24,47,70,12,9,22,11,11.37,1,14
2488,0,1,0,0,1,0,5,1,2,220,101,101,1,30,58,8,14,22,4,8.84,1,14
2544,0,0,0,1,1,3,4,1,8,249,46,61,3,64,61,11,7,13,3,6.53,1,14
2556,0,0,0,0,1,0,4,1,5,184,40,50,6,46,95,17,15,14,11,10.12,1,14
2561,0,0,0,0,1,0,5,0,9,195,34,47,13,14,37,23,14,19,3,13.69,1,14
2562,1,0,0,0,0,0,4,1,8,210,31,55,15,72,105,24,13,18,7,16.58,1,14
2563,0,1,0,0,1,2,4,0,6,238,57,69,2,22,54,11,12,18,3,5.27,1,14
2570,0,1,0,0,1,0,5,1,8,214,41,62,4,12,31,19,15,15,4,12.7,1,14
2579,1,0,0,0,1,0,4,1,8,201,22,48,9,61,76,24,21,17,5,14.61,1,14
2582,0,1,0,0,1,3,4,1,7,236,62,64,6,43,75,10,5,23,7,10.32,1,14
2584,0,0,1,0,1,2,4,1,9,183,49,54,10,102,106,15,8,23,6,8.12,1,14
2586,0,1,0,0,1,1,4,1,8,244,69,69,4,90,142,11,10,18,16,8.87,1,14
2603,0,1,0,0,1,2,4,0,4,192,64,79,9,27,44,36,19,19,5,26.96,1,14
2609,0,0,0,0,1,0,5,1,9,116,39,39,17,113,316,9,9,11,4,6.19,1,14
2615,1,0,0,0,1,0,4,0,5,185,44,52,10,52,78,7,4,22,8,7.18,1,14
2627,0,1,0,0,1,2,5,1,8,174,56,56,5,19,43,19,15,15,15,15.15,1,14
2636,0,1,0,0,1,2,4,1,8,166,72,72,6,80,128,15,20,18,7,9.77,1,14
2639,1,0,0,0,1,0,4,1,8,128,42,43,7,86,154,12,7,20,12,8.17,1,14
2662,0,0,0,0,1,0,4,0,3,193,39,42,9,46,92,24,20,15,5,11.62,1,14
2678,0,1,0,0,1,0,6,0,9,239,42,64,1,90,136,10,6,24,6,5.4,1,14
2686,0,1,0,0,1,2,6,1,8,193,43,75,13,91,163,4,6,13,4,4.21,1,14
2691,1,0,0,0,1,2,4,0,9,204,51,59,10,57,99,35,25,16,8,12.9,1,14
2695,0,1,0,0,1,0,3,0,9,240,37,69,1,55,73,21,14,15,3,7.44,1,14
2725,1,0,0,0,1,0,2,0,9,239,60,79,5,28,67,14,12,17,3,18.07,1,14
2729,0,1,0,0,1,1,3,1,9,134,34,34,18,35,48,32,27,15,6,14.76,1,14
2730,0,0,0,0,1,0,4,0,8,196,37,74,4,126,168,13,9,15,3,6.1,1,14
2764,0,0,0,0,1,0,4,0,9,164,32,46,35,50,67,13,9,22,4,11.53,1,14
2777,0,1,0,0,1,2,5,1,9,122,50,50,18,84,96,21,19,18,4,21.5,1,14
2787,0,0,0,0,1,0,4,1,8,146,27,37,24,15,41,27,14,18,6,12.64,1,14
2808,0,0,0,0,1,0,4,1,8,474,111,156,0,53,84,12,8,23,5,6.24,1,14
2811,0,0,0,0,1,0,3,0,8,97,21,28,30,104,157,18,11,15,5,9.96,1,14
2826,0,0,0,0,1,0,4,1,8,115,18,28,41,16,61,14,8,22,9,7.48,1,14
2833,0,1,0,0,1,3,4,1,8,233,44,76,6,53,83,18,12,16,7,12.89,1,14
2834,0,0,1,0,1,0,1,1,6,189,28,47,18,89,132,20,26,24,3,7.73,1,14
2844,0,1,0,0,1,1,4,0,8,155,30,33,27,39,64,7,5,21,6,8.99,1,14
2854,0,1,0,0,1,1,3,1,8,125,22,44,28,53,87,14,9,18,6,9.7,1,14
2863,0,1,0,0,1,2,4,0,9,134,34,34,26,72,99,21,16,21,3,13.25,1,14
2884,1,0,0,0,1,1,4,0,9,181,26,62,16,101,133,21,23,23,5,9.19,1,14
2888,0,1,0,0,1,2,4,0,8,98,24,31,33,11,33,28,16,14,3,17.02,1,14
2897,0,1,0,0,1,2,4,0,9,147,54,54,2,113,184,19,18,17,7,12.35,1,14
2902,1,0,0,0,1,0,3,1,8,174,33,45,7,77,79,16,14,19,34,7.47,1,14
2903,0,1,0,0,1,3,5,0,6,179,35,57,10,111,205,15,18,19,6,11.1,1,14
2909,1,0,0,0,1,0,4,1,7,246,62,88,3,110,374,7,6,19,4,4.63,1,14
2912,0,1,0,0,1,0,4,0,8,153,34,56,16,5,24,19,21,16,9,10.64,1,14
2932,0,1,0,0,1,0,4,1,4,146,51,51,13,16,40,25,10,23,5,17.23,1,14
2940,1,0,0,0,1,0,3,1,9,150,17,49,18,19,47,24,22,13,4,16.19,1,14
2946,0,0,1,0,1,0,4,1,9,322,54,84,2,23,59,6,9,17,7,5.06,1,14
2953,0,1,0,0,1,2,4,0,6,104,20,27,41,109,203,13,9,10,3,7.73,1,14
2956,1,0,0,0,1,3,4,1,6,386,102,161,0,39,88,15,7,17,3,6.84,1,14
2970,1,0,0,0,1,0,4,0,9,177,28,74,12,59,104,29,24,20,7,8.84,1,14
2973,0,0,0,1,1,0,4,1,8,195,23,37,13,79,119,6,8,12,4,5.08,1,14
2982,0,1,0,0,1,2,5,0,8,127,22,34,26,78,106,16,13,23,3,18.45,1,14
2998,0,0,0,0,1,3,4,0,9,210,27,78,10,31,41,14,14,23,3,8.21,1,14
3000,1,0,0,0,1,2,4,1,8,176,40,46,5,124,325,11,9,20,4,12.42,1,14
3003,0,1,0,0,1,0,4,0,8,140,24,60,32,137,272,9,11,15,12,6.04,1,14
3019,0,1,0,0,1,1,6,1,8,106,22,24,30,70,121,10,6,13,3,7.37,1,14
3090,0,0,1,0,1,0,4,0,8,310,56,77,4,125,196,5,6,14,4,4.64,1,14
3119,0,1,0,0,1,0,4,0,8,177,34,41,24,80,122,18,14,21,8,11.13,1,14
3142,0,0,1,0,1,2,4,0,8,135,59,59,7,43,65,8,5,20,6,6.05,1,14
3144,0,0,1,0,1,3,4,1,8,144,40,41,5,64,89,10,10,15,7,6.1,1,14
3158,0,0,0,1,1,0,4,1,0,209,68,71,5,40,63,10,19,21,5,10.78,1,14
3160,0,1,0,0,1,2,3,1,9,118,28,46,14,73,165,23,20,15,5,13.02,1,14
3186,0,1,0,0,1,0,4,1,9,239,40,74,21,43,67,16,9,14,7,5.68,1,14
3230,0,1,0,0,1,2,4,1,9,156,32,32,18,80,141,33,23,17,6,15.15,1,14
3261,0,0,0,1,1,2,4,1,9,103,40,40,26,102,144,5,4,16,5,2.97,1,14
3304,0,0,1,0,1,1,4,1,8,170,33,40,20,45,74,13,7,22,4,8.01,1,14
3307,0,0,1,0,1,0,4,1,9,159,29,43,20,80,90,12,8,14,11,4.9,1,14
3328,1,0,0,0,1,0,4,0,5,193,49,51,18,41,66,33,14,14,3,11.31,1,14
3334,0,1,0,0,1,2,3,0,9,174,52,63,2,30,50,25,31,18,7,8.59,1,14
3339,1,0,0,0,1,0,4,0,8,120,36,38,17,26,62,11,9,13,3,7.21,1,14
3354,0,0,0,0,1,0,4,0,5,129,50,50,17,65,105,16,12,16,6,10.4,1,14
3360,0,0,0,1,1,2,4,1,9,308,71,72,0,31,69,11,6,16,6,8.38,1,14
3368,1,0,0,0,1,2,4,1,9,123,32,42,23,112,350,12,13,23,5,6.68,1,14
3372,0,1,0,0,1,0,2,1,8,112,26,33,17,124,200,18,21,21,4,19.1,1,14
3390,0,1,0,0,1,2,4,1,8,145,28,43,10,49,141,50,16,22,6,22.92,1,14
3398,0,1,0,0,1,3,4,1,9,203,78,78,4,104,212,39,28,18,5,17.92,1,14
3409,1,0,0,0,1,2,4,0,9,138,17,34,25,97,193,11,14,15,7,10.57,1,14
3412,1,0,0,0,1,0,4,1,8,292,60,96,4,50,72,11,9,23,10,6.09,1,14
3415,1,0,0,0,1,3,5,1,8,125,45,62,7,66,111,40,18,13,3,10.24,1,14
3418,0,0,1,0,1,0,4,0,8,166,29,43,6,54,70,14,7,18,12,7.42,1,14
3421,0,1,0,0,1,0,2,1,8,181,47,47,7,86,111,15,6,17,9,7.96,1,14
3422,0,0,1,0,1,0,2,0,8,209,60,70,7,121,298,13,9,21,4,8.74,1,14
3432,0,1,0,0,1,2,4,1,7,180,38,45,14,52,99,21,28,21,4,11.04,1,14
3451,0,1,0,0,1,3,4,0,8,200,76,76,7,105,222,10,6,16,8,5.88,1,14
3505,1,0,0,0,1,1,3,1,8,160,27,36,20,83,108,23,12,22,7,19.35,1,14
3570,1,0,0,0,1,0,4,0,8,150,37,44,20,55,79,8,5,19,2,6.01,1,14
3572,0,0,1,0,1,0,4,1,8,176,34,47,12,98,186,6,7,24,6,5.06,1,14
3591,0,0,1,0,1,0,4,0,8,177,34,54,11,11,30,11,8,16,5,10.11,1,14
3595,0,0,0,1,1,0,4,0,8,118,21,35,34,11,36,6,4,24,8,7.36,1,14
3617,0,1,0,0,1,0,4,1,5,367,80,117,0,52,63,5,5,18,10,5.77,1,14
3655,0,0,0,0,1,0,4,1,8,158,31,32,15,41,55,15,7,22,3,18.27,1,14
3656,1,0,0,0,1,0,4,1,9,119,36,36,14,62,132,10,3,20,5,11.8,1,14
3669,0,1,0,0,1,2,7,1,8,182,83,83,1,61,76,8,7,21,3,8.65,1,14
3672,0,1,0,0,1,0,4,0,9,186,46,46,9,54,107,13,9,22,8,5.79,1,14
3686,1,0,0,0,1,0,2,0,8,131,43,53,11,85,232,9,10,26,6,6.59,1,14
3703,0,1,0,0,1,3,3,0,9,263,70,70,2,39,72,22,19,13,6,15.79,1,14
3704,1,0,0,0,1,0,2,1,8,269,37,84,4,41,82,50,20,19,4,20.39,1,14
3714,0,1,0,0,1,2,7,1,8,218,53,64,2,83,125,18,22,14,6,15.21,1,14
3715,0,0,1,0,1,0,4,1,2,124,25,38,18,100,157,22,11,17,5,11.47,1,14
3756,0,0,1,0,1,0,4,1,9,156,28,43,18,73,198,9,9,14,6,5.79,1,14
3760,1,0,0,0,1,3,4,0,7,198,46,51,4,71,104,15,8,16,7,10.95,1,14
3784,0,1,0,0,1,2,5,1,9,139,32,32,16,97,141,32,32,18,6,11.01,1,14
3801,0,1,0,0,1,0,4,1,7,75,20,23,47,33,77,12,5,21,7,11.7,1,14
3802,1,0,0,0,1,0,4,1,4,202,34,52,18,101,283,14,10,21,6,7.96,1,14
3808,0,0,1,0,1,0,4,1,9,144,36,52,8,23,59,20,12,17,14,9.61,1,14
3809,0,1,0,0,1,0,2,1,9,73,35,36,7,89,98,17,20,17,5,8.34,1,14
3824,1,0,0,0,1,2,5,0,8,235,56,70,5,77,100,6,4,21,7,4.53,1,14
3836,0,0,0,0,1,0,2,0,8,187,33,62,6,17,49,49,21,20,7,11.38,1,14
3863,0,0,1,0,1,0,3,0,9,132,64,64,15,101,259,6,3,22,6,6.44,1,14
3919,0,1,0,0,1,0,3,1,4,140,29,40,29,72,153,14,14,13,9,8.52,1,14
3926,0,0,0,1,1,0,4,1,8,189,29,63,3,30,74,5,6,24,4,4.96,1,14
3934,0,1,0,0,1,3,4,1,5,261,95,95,0,64,106,8,6,20,5,8.61,1,14
3949,0,0,1,0,1,0,4,1,9,265,65,65,8,38,60,17,8,19,3,9.75,1,14
3950,0,1,0,0,1,0,4,1,6,118,21,36,25,16,52,14,9,16,7,7.86,1,14
3956,1,0,0,0,1,0,3,0,9,161,47,47,7,66,67,18,12,14,4,9.86,1,14
3967,0,0,0,1,1,4,4,0,9,291,60,77,0,74,77,5,6,17,5,8.89,1,14
3977,0,1,0,0,1,0,2,0,5,321,74,84,0,17,44,14,7,18,4,11.41,1,14
3985,0,1,0,0,1,0,2,1,9,294,94,101,0,19,56,43,16,24,6,12.99,1,14
4002,0,0,0,1,1,0,2,1,8,102,39,39,16,37,76,10,11,16,5,7.54,1,14
4025,0,1,0,0,1,0,5,0,8,173,38,45,11,58,101,12,11,12,16,9.35,1,14
4045,1,0,0,0,1,0,6,0,9,135,37,37,8,47,97,16,10,14,6,10.45,1,14
4054,0,1,0,0,1,1,5,0,5,157,48,56,1,102,344,21,13,23,7,11.29,1,14
4059,1,0,0,0,1,3,4,1,8,347,82,103,2,45,61,21,17,14,4,10.44,1,14
