"headline","date"
"KATHLEEN MURPHY, CRAIG PARISOT VIE TO FILL 34TH HOUSE SEAT JAN. 6","2014-12-31"
"MORRISSEY BANKS ON HIS MONEY ADVANTAGE IN 74TH DISTRICT RACE","2014-12-31"
"JIM WEBB DEFENDS PAYMENTS TO FAMILY MEMBERS FROM POLITICAL ACTION COMMITTEE","2014-12-31"
"NINE VA. CHILDREN DIED IN UNREGULATED DAY CARE IN 2014, THE DEADLIEST YEAR IN A DECADE","2014-12-31"
"VIRGINIA FIGHTS DISPARITIES IN TEACHER QUALITY","2014-12-31"
"NICE DIGITS: WHAT'S THE DEAL WITH DMV'S LOW NUMBER LICENSE PLATES?","2014-12-31"
"JOBLESS DOWN, BUT MARTINSVILLE STILL LEADS VIRGINIA","2014-12-31"
"VIRGINIA INSURANCE ENROLLMENT NEARS 165,000","2014-12-31"
"AFFORDABLE CARE ACT HEALTH ENROLLMENT IN VIRGINIA 'ON TRACK'","2014-12-31"
"164,884 VIRGINIANS ENROLL IN ACA MARKETPLACE BY DEC. 15 FIRST DEADLINE","2014-12-31"
"THE GOOD, BAD AND UGLY OF 2014","2014-12-31"
"GAS HIKE NEEDS TO BE A ONE-TIME THING","2014-12-31"
"SCHAPIRO: ALL THE MCDONNELLS WERE IN ON THE FEED","2014-12-31"
"PIPELINE ROUTE NOT FAIR, SMART","2014-12-31"
"CATHCART: FREE MARKET WILL DOOM NATURAL GAS","2014-12-31"
"SUIT SEEKS 12 REDRAWN HOUSE OF DELEGATES DISTRICTS","2015-01-01"
"VIRGINIA HOUSE OF DELEGATES DISTRICTS CHALLENGED IN LAWSUIT","2015-01-01"
"PROPERTY FIRM: SEN. MARTIN OWES $118K FOR OLD DEBT","2015-01-01"
"PROPOSAL WOULD DROP NEWSPAPER NOTICE MANDATE","2015-01-01"
"RHETORIC SHARPENS IN DEBATE OVER MCDONNELL SENTENCE","2015-01-01"
"PHIL HAMILTON SURFACES IN MCDONNELL FILINGS","2015-01-01"
"PROSECUTORS OPPOSE MCDONNELL'S SENTENCING REQUEST","2015-01-01"
"MCDONNELLS FACE POSSIBLE PRISON TERMS","2015-01-01"
"STRICTER SENIOR DRIVING LAW GOES INTO EFFECT THIS WEEK","2015-01-01"
"MEDICAID RATES DROPPING FOR PRIMARY DOCTORS IN VIRGINIA","2015-01-01"
"REAL ESTATE REBOUND KEEPS FREDERICKSBURG AREA FORECLOSURES FALLING","2015-01-01"
"GALAX'S VAUGHAN FURNITURE CO. TO CLOSE IN THE NEW YEAR","2015-01-01"
"ERC: TOLL PROBLEMS HAVE IMPROVED, BUT WORK REMAINS","2015-01-01"
"LAST DAY FOR VSU'S PRESIDENT","2015-01-01"
"MINIMUM WAGE HIKES, INCREASE IN GAS TAXES ARE AMONG LAWS TAKING EFFECT IN NEW YEAR","2015-01-01"
"O’MALLEY TO COMMUTE SENTENCES OF MARYLAND’S REMAINING DEATH-ROW INMATES","2015-01-01"
"AS GRAY LEAVES THE D.C. MAYOR’S OFFICE, MANY OF HIS PLANS ARE LEFT BEHIND","2015-01-01"
"PIPELINE COULD SKIRT HISTORIC HEVENER FARM","2015-01-01"
"PUBLIC BARRED FROM NORTH SIDE PARK","2015-01-01"
"IP BRINGS SUIT AGAINST ISLE OF WIGHT COUNTY","2015-01-01"
"A WISH LIST FOR 2015: LEARN FROM MISTAKES","2015-01-01"
"VA. READY FOR EDUCATION SUGGESTIONS","2015-01-01"
"RESS AND FAIN: VIRGINIA POLITICS: A LOOKAHEAD TO 2015","2015-01-01"
"CARRAWAY: SOONER OR LATER, UNIVERSAL HEALTH CARE WILL HAPPEN","2015-01-01"
"DETWEILER: THE SECRET PERILS OF FRACKING","2015-01-01"
"FEDERAL LAWSUIT FILED TO CHALLENGE VIRGINIA’S STATE ELECTORAL DISTRICTS","2015-01-02"
"RICHMOND COUNCIL PRESSES FOR CHANGES TO GRAND LARCENY THRESHOLD","2015-01-02"
"STANLEY TO INTRODUCE ADDITIONAL HEALTHCARE LEGISLATION","2015-01-02"
"MAUREEN MCDONNELL REPORTEDLY SOUGHT MONEY FROM NFL QUARTERBACK","2015-01-02"
"DOMINION SEEKS SUPPORT FROM OUTSIDE AUGUSTA","2015-01-02"
"AFTER BITTER COMMUNITY PUSHBACK, ARLINGTON COUNTY LAUNCHES NEW PLANNING PROCESS","2015-01-02"
"LONG HEALING PROCESS AHEAD","2015-01-02"
"EPA’S MOVE TO REGULATE ‘COAL ASH’ IS A STEP FORWARD","2015-01-02"
"MENTAL DISABILITY, NOT A CRIME","2015-01-02"
"COMING UP NEXT","2015-01-02"
"WHO SHOULD GET A STATUE?","2015-01-02"
"THOMSON: 10 THINGS THAT WILL CHANGE COMMUTING IN THE D.C. REGION DURING 2015","2015-01-02"
"KELSEY: YES VIRGINIA, THERE IS A COMMON SENSE ETHICS REFORM","2015-01-02"
"LYNCHBURG NATIVE, CHARLOTTESVILLE INVESTOR WRANGLE OVER WHISKEY","2015-01-02"
"FIGHT ON GUNS IS BEING TAKEN TO STATE BALLOTS","2015-01-05"
"2 LOUDOUN LAWMAKERS FIGHT IN-STATE TUITION FOR SOME UNDOCUMENTED IMMIGRANTS","2015-01-05"
"LEGISLATION: NO IN-STATE TUITION FOR IMMIGRANTS WITH TEMPORARY STATUS","2015-01-05"
"THE RETURN OF HEMP?","2015-01-05"
"MCDONNELL LEANS ON HIS FRIENDS AND FAITH","2015-01-05"
"MCDONNELL SENTENCE: QUESTIONS OF ETHICS, DETERRENCE, CONSEQUENCE","2015-01-05"
"Q&A | HOW MUCH TIME COULD MCDONNELL GET?","2015-01-05"
"IN NOTE TO FEDERAL JUDGE, SULLIVAN ASKS FOR LENIENCY FOR BOB MCDONNELL","2015-01-05"
"A NUMBER OF GOVERNORS HAVE GONE TO PRISON","2015-01-05"
"SIX VOICE INTEREST IN RUNNING FOR WATKINS' OPEN SEAT IN VIRGINIA SENATE","2015-01-05"
"STATE SEATS UP FOR RE-ELECTION THIS YEAR","2015-01-05"
"WARE SEEKING RE-ELECTION IN 2015","2015-01-05"
"JIM WEBB HIRES JOURNALIST CRAWFORD AS COMMUNICATIONS DIRECTOR","2015-01-05"
"POWER COMPANY, PRESERVATIONISTS FACE OFF OVER PROPOSED TOWERS ACROSS THE JAMES RIVER","2015-01-05"
"MENTAL HEALTH ADVOCATES SEEK RELIEF FOR AUTISTIC VA. INMATE","2015-01-05"
"GAS TAX INCREASE HITS STATE","2015-01-05"
"VIRGINIA EYES BROADER ARRAY OF EXPORTS TO CUBA","2015-01-05"
"KEN CUCCINELLI’S POST-POLITICS ENDEAVOR: OYSTER FARMING","2015-01-05"
"MWAA BOARD, ONCE CRITICIZED FOR EXPENSIVE TRAVEL, STICKING CLOSER TO HOME","2015-01-05"
"COMMUTERS TO PUT I-95 EXPRESS LANES TO THE TEST AFTER HOLIDAYS","2015-01-05"
"VDOT LOOKING AT HOW TO MAKE I-264 MOST EFFECTIVE","2015-01-05"
"AT UVA, THE CLOUD REMAINS AFTER ROLLING STONE ARTICLE","2015-01-05"
"ROCKET FLAWS KNOWN BEFORE VA. BLAST","2015-01-05"
"LAW FIRM AGREES TO REPRESENT LANDOWNERS IN PIPELINE CASES","2015-01-05"
"GAS PIPELINE FACES MOUNTAIN OF OPPOSITION IN WESTERN VIRGINIA","2015-01-05"
"PROPERTY RIGHTS EMERGE AS POWERFUL ISSUE IN PIPELINE'S PATH","2015-01-05"
"ARLINGTON COUNTY BOARD COALESCES BEHIND HYNES FOR 2015","2015-01-05"
"BLOC REVEALED BY ANALYSIS OF RICHMOND SCHOOL BOARD VOTES","2015-01-05"
"ART WARREN STEPPING DOWN FROM CHESTERFIELD BOARD OF SUPERVISORS","2015-01-05"
"JONES TAPPED FOR MAYOR","2015-01-05"
"CULPEPER TOWN COUNCIL FIRES ANOTHER TOWN MANAGER","2015-01-05"
"REDISTRICTING, JUDICIAL REFORM MUST BE PART OF THE SOLUTION","2015-01-05"
"END EROSION OF WAGES FOR STATE WORKERS","2015-01-05"
"KEY ETHICS REFORM ISN'T GIFTS LIMIT","2015-01-05"
"BAD NEWS ON SEA LEVELS CALLS FOR FORWARD-THINKING SOLUTIONS","2015-01-05"
"LET THE PEOPLE VOTE","2015-01-05"
"FREE SPEECH, UNIVERSITY CODES COLLIDE","2015-01-05"
"SCHAPIRO: 2015 BEGINS WITH 2014 HANGOVER","2015-01-05"
"POLITIFACT: WARNER ON SEXUAL ASSUALT: IT'S SAFER FOR WOMEN NOT TO BE IN COLLEGE","2015-01-05"
"HAWKINS: WHAT GOP CAN LEARN FROM GILLESPIE’S NEAR-SUCCESS IN 2014","2015-01-05"
"WHITE: TERM-LIMIT THE POLITICIANS","2015-01-05"
"TRAVERS: IS TUITION TOO HIGH AND WHY?","2015-01-05"
"BRAUNLICH: THE COMING EDUCATION CHALLENGE","2015-01-05"
"OLIVER: IMAGINING THE FUTURE WITH RISING SEAS","2015-01-05"
"BOUCHER: FIRST STEP IN ENDING GRIDLOCK","2015-01-05"
"PETERSON: LENIENCY FOR MCDONNELL WOULD SEND WRONG SIGNAL","2015-01-05"
"DOROTHY MCAULIFFE REFLECTS ON FIRST YEAR AS FIRST LADY","2015-01-06"
"FIGHTING RED MAPS IN PURPLE STATES","2015-01-06"
"COAL TAX CREDIT EFFECTIVENESS QUESTIONED","2015-01-06"
"N.VA. LEGISLATORS TO FOCUS ON BUDGET, GUN CONTROL, REDISTRICTING","2015-01-06"
"A NEW STATE SONG?","2015-01-06"
"WHAT TO EXPECT AT FORMER VIRGINIA GOVERNOR ROBERT MCDONNELL’S SENTENCING","2015-01-06"
"EX-VIRGINIA GOV. BOB MCDONNELL MAKES BID TO AVOID PRISON","2015-01-06"
"FORMER GOV. MCDONNELL TO BE SENTENCED TODAY","2015-01-06"
"MCDONNELL SENTENCING IS TUESDAY: WHAT TO EXPECT","2015-01-06"
"AHEAD OF SENTENCING, FORMER GOV. BOB MCDONNELL ASKS FOR BOND","2015-01-06"
"EX-QB BEUERLEIN CONFIRMS MAUREEN MCDONNELL ASKED HIM FOR MONEY","2015-01-06"
"34TH DISTRICT VOTERS HEAD TO POLLS TUESDAY","2015-01-06"
"SEN. HOWELL PLANS TO SEEK RE-ELECTION","2015-01-06"
"NEW DMV LAWS AFFECT OLDER DRIVERS","2015-01-06"
"BRAT SAYS HE WON'T SUPPORT BOEHNER FOR SPEAKER","2015-01-06"
"BRAT BLOCKS BOEHNER","2015-01-06"
"VIRGINIA’S REP. DAVE BRAT TO OPPOSE BOEHNER’S REELECTION AS HOUSE SPEAKER","2015-01-06"
"2014 CITIZEN OF THE YEAR: FRANK WOLF","2015-01-06"
"VIRGINIA ECONOMY TO SEE EFFECTS OF FEDERAL CUTS AGAIN IN 2015","2015-01-06"
"ECONOMIST: LOTS OF LOW-PAYING JOBS TO BE AVAILABLE","2015-01-06"
"STATE, LOCAL GOVERNMENTS CONTINUE TO SPEND MORE THAN THEY EARN","2015-01-06"
"GEOTHERMAL HEAT: COULD BECOME A NEW LOCAL ENERGY SOURCE","2015-01-06"
"CAMPUS SEXUAL ASSAULT REPORTS A COMPLICATED TALLY","2015-01-06"
"REGENT TO OFFER A PIPELINE TO EVMS","2015-01-06"
"REPORT SAYS THE CHESAPEAKE BAY IS IMPROVING IN AREAS BUT THERE IS STILL REASON FOR CONCERN","2015-01-06"
"CHESAPEAKE BAY'S HEALTH BARELY GETS PASSING SCORE","2015-01-06"
"FAIRFAX SCHOOL BOARD SEEKS TO DOUBLE SALARY FOR MEMBERS AS DISTRICT SEES BUDGET CRUNCH","2015-01-06"
"AS NEW LEADER OF RICHMOND COUNCIL, MOSBY CALLS FOR MORE COLLABORATION","2015-01-06"
"VA. BEACH WANTS TO ORDER TROLLEY-STYLE BUSES SOONER","2015-01-06"
"PETERSBURG AND COLONIAL HEIGHTS NAME NEW MAYORS","2015-01-06"
"NEW MAYOR FOR PETERSBURG","2015-01-06"
"CHANGES VOWED AFTER AUDITS REVEAL PROBLEMS IN CHARLOTTESVILLE, ALBEMARLE COURT CLERK'S OFFICES","2015-01-06"
"TURNER ELECTED CITY MAYOR","2015-01-06"
"THE JOB OUTLOOK","2015-01-06"
"A JUST PUNISHMENT","2015-01-06"
"MCDONNELL DRAMA ALSO A TRAGEDY","2015-01-06"
"STARTING OVER WITH SCHOOL TESTING?","2015-01-06"
"DON'T LOOK AT INTERSTATE 264 IN ISOLATION","2015-01-06"
"CHESLEY: VOTERS' NEEDS VERSUS LEGISLATORS' WANTS: WHERE DO YOU DRAW THE LINE?","2015-01-06"
"DILLARD: FROM LOW LIGHT TO HIGHLIGHT IN ONE YEAR","2015-01-06"
"TODAY'S HD34 SPECIAL ELECTION POISED TO BREAK SPENDING RECORD","2015-01-06"
"BRANDING THE STATE: GOVERNOR MCAULIFFE UNVEILS ‘WELCOME TO VIRGINIA’ SIGNS AT DULLES","2015-01-07"
"VA. ATTORNEY GENERAL SAYS STATE AUTHORITIES DON’T HAVE TO HOLD MIGRANTS FOR U.S. AGENCY","2015-01-07"
"COMMONWEALTH INSTITUTE: GOV'S ONLINE HOTEL TAX CHANGE MEANS HELP FOR LOCALS","2015-01-07"
"DELEGATES TALK ON ‘15<U+2008>SESSION","2015-01-07"
"EX-VIRGINIA GOV. BOB MCDONNELL GETS 2 YEARS FOR CORRUPTION","2015-01-07"
"ROBERT F. MCDONNELL SENTENCED TO TWO YEARS IN PRISON","2015-01-07"
"FORMER GOV. BOB MCDONNELL SENTENCED TO TWO YEARS IN PRISON","2015-01-07"
"BOB MCDONNELL, EX-GOVERNOR OF VIRGINIA, IS SENTENCED TO 2 YEARS FOR CORRUPTION","2015-01-07"
"BOB MCDONNELL SENTENCED TO 2 YEARS IN PRISON FOR PUBLIC CORRUPTION","2015-01-07"
"BOB MCDONNELL SENTENCED TO TWO YEARS IN PRISON","2015-01-07"
"FORMER GOV. BOB MCDONNELL SENTENCED TO 24 MONTHS IN PRISON","2015-01-07"
"MERCY FOR MCDONNELL","2015-01-07"
"SUPPORTERS' EMOTIONS RANGE FROM GRIEF TO RELIEF","2015-01-07"
"VALLEY LEGISLATORS SADDENED BY MCDONNELL SENTENCING","2015-01-07"
"RELIEF, SUPPORT EXPRESSED BY LOCAL LAWMAKERS AS MCDONNELL SENTENCED","2015-01-07"
"EX-GOVERNOR SUPPORTED BY LAWMAKERS","2015-01-07"
"REACTIONS TO MCDONNELL SENTENCING","2015-01-07"
"MCDONNELL EXPECTED TO FILE APPEAL TODAY OR TOMORROW","2015-01-07"
"GOVERNOR'S SENTENCE COULD REPRESENT ""CAP"" FOR FIRST LADY","2015-01-07"
"MCDONNELLS’ STRAINED FAMILY RELATIONSHIPS PUT IN SPOTLIGHT AT EX-GOVERNOR’S SENTENCING","2015-01-07"
"MCDONNELL TRIAL: SHORTER SENTENCE STILL SENDS STRONG ETHICS SIGNAL","2015-01-07"
"DEMOCRAT MURPHY BEATS PARISOT IN HOUSE OF DELEGATES RACE IN NORTHERN VIRGINIA","2015-01-07"
"MURPHY WINS, VA. HOUSE 34TH DISTRICT SHIFTS BLUE","2015-01-07"
"MURPHY NARROWLY DEFEATS PARISOT IN WINTRY 34TH DISTRICT SPECIAL ELECTION","2015-01-07"
"PRESTON WINS SPECIAL ELECTION FOR PETERSBURG-AREA HOUSE SEAT","2015-01-07"
"MORRISSEY HAS MORE MONEY THAN TWO RIVALS HEADING INTO FINAL WEEK OF CAMPAIGN","2015-01-07"
"JOE MORRISSEY FIGHTS TO KEEP HIS SEAT IN MOST UNUSUAL CIRCUMSTANCES","2015-01-07"
"PROSECUTOR FILES BAR COMPLAINT AGAINST MORRISSEY","2015-01-07"
"STATE RETIREMENT SYSTEM TO LOSE LONGTIME LEADER","2015-01-07"
"VDOT SEES POTENTIAL IN ROADKILL AS COMPOST","2015-01-07"
"RIGELL VOTES AGAINST BOEHNER SPEAKERSHIP","2015-01-07"
"BRAT GOES IT ALONE WITH SPEAKER VOTE","2015-01-07"
"COMSTOCK SWORN IN, VOWS TO  ‘GET AMERICA BACK TO WORK’","2015-01-07"
"FIREARM SALES DROP IN VA. FOR FIRST TIME IN 4 YEARS","2015-01-07"
"COMMUTER CHAOS BRINGS APOLOGIES, BLAME-SHIFTING FROM GOVERNMENT AGENCIES","2015-01-07"
"HAMPTON ROADS TRANSPORTATION GROUP STILL WAITING TO PROCEED WITH FINANCIAL SEARCH","2015-01-07"
"U.VA. LIFTS SUSPENSION OF GREEK ACTIVITIES","2015-01-07"
"NEW SAFETY RULES ANNOUNCED FOR UNIVERSITY OF VIRGINIA FRATERNITY PARTIES","2015-01-07"
"UNIVERSITY ANNOUNCES NEW FRATERNAL ORGANIZATION AGREEMENTS, LIFTS SOCIAL ACTIVITY SUSPENSIONS","2015-01-07"
"CHESAPEAKE BAY FOUNDATION REPORT GIVES BAY A D+ FOR HEALTH","2015-01-07"
"SCHOOL LEADERS OPTIMISTIC ABOUT CHANGE IN START TIMES","2015-01-07"
"NEW PETERSBURG COUNCILMAN RACKED UP $30,000 IN CAMPAIGN PENALTIES","2015-01-07"
"GLARING RED","2015-01-07"
"MCDONNELL'S SHAME, AND VIRGINIA'S","2015-01-07"
"FORMER VIRGINIA GOVERNOR ROBERT MCDONNELL’S REAL PUNISHMENT IS DISGRACE","2015-01-07"
"MCDONNELL: 2 YEARS","2015-01-07"
"JUDGE SENTENCES MCDONNELL TO HARD TIME","2015-01-07"
"WHAT'S MERCIFUL? WHAT'S MEANINGFUL?","2015-01-07"
"REDO REDISTRICTING PROCESS","2015-01-07"
"CLARITY ON DETENTIONS WAS NEEDED","2015-01-07"
"SCHAPIRO: MCDONNELL DOESN'T GET BACK REPUTATION","2015-01-07"
"HINKLE: SHOULD DOMINION GET TO WALK ALL OVER PROPERTY RIGHTS?","2015-01-07"
"DOUGHERTY: MCDONNELL IS PROOF THAT A LOT CAN CHANGE IN JUST A FEW YEARS","2015-01-07"
"MARCUS: FOR BOB MCDONNELL, JUSTICE WAS SERVED","2015-01-07"
"DVORAK: MCDONNELL SHOULD HAVE BEEN SENTENCED TO 30 YEARS IN HIS WIFE’S SHOES","2015-01-07"
"MILLER: PIPELINE WON'T LIVE UP TO THE HYPE","2015-01-07"
"MCAULIFFE EXPANDS ON PLAN TO TIGHTEN DAYCARE REGULATIONS","2015-01-08"
"IN NORFOLK, MCAULIFFE GIVES PLAN TO AID STATE STUDENTS","2015-01-08"
"LANGUAGE IN PROPOSED VIRGINIA BUDGET WORRIES WORKERS, PATIENTS","2015-01-08"
"CANON PLEDGES $100M TO NEWPORT NEWS SITE","2015-01-08"
"CANON'S PENINSULA PLANT TO GET $100M EXPANSION","2015-01-08"
"ASSEMBLY PANEL HEARS STATE BUDGET REQUESTS","2015-01-08"
"LAWMAKERS HEAD BACK WITH SHARP BUDGET AX","2015-01-08"
"SWVA LEGISLATORS HEAR CONSTITUENTS' STATE FUNDING PLEAS","2015-01-08"
"DELEGATE'S PLAN COULD FORCE BIG VA. COLLEGE SPORTS CUTS","2015-01-08"
"LOUDOUN LAWMAKERS’ BILLS TACKLE ETHICS, GREENWAY, SEX OFFENDERS","2015-01-08"
"LENIENT SENTENCE WILL NOT DETER MCDONNELL APPEAL","2015-01-08"
"LEGAL EXPERTS: MAUREEN MCDONNELL MIGHT GET LENIENCY","2015-01-08"
"IS FORMER GOVERNOR MCDONNELL'S STATE PENSION REALLY AT RISK?","2015-01-08"
"FORMER VA. DELEGATE MAY BE SMARTING ABOUT MCDONNELL SENTENCE, BUT SAYS HE’S AT PEACE","2015-01-08"
"OBSERVERS PRAISE JUDGE FOR DETAILING HIS REASONING FOR MCDONNELL SENTENCE","2015-01-08"
"REPUBLICAN SEEKING MORRISSEY'S SEAT HOPES TO REBUILD TRUST","2015-01-08"
"MORRISSEY KEEPS HIS EDGE IN MONEY RACE","2015-01-08"
"PROSECUTOR PURSUES BAR COMPLAINT AGAINST MORRISSEY","2015-01-08"
"SEN. TIM KAINE INTRODUCES BILL TO ALLOW MEDICARE TO NEGOTIATE PRICE OF PRESCRIPTION DRUGS","2015-01-08"
"TIM KAINE INTRODUCES BILL TO STREAMLINE AMERICAN LNG IMPORTS","2015-01-08"
"REP. BOB GOODLATTE RENEWS QUEST FOR BALANCED BUDGET AMENDMENT TO CONSTITUTION","2015-01-08"
"WITTMAN: WRITE A BUDGET OR NO PAY; APPROPRIATE MONEY OR NO VACATION!","2015-01-08"
"SMITHFIELD FOODS MOVES TO END USE OF BREEDING CRATES ON COMPANY FARMS","2015-01-08"
"PROPOSED PRINCE WILLIAM DATA CENTER PROMPTS PROTEST LETTER TO JEFF BEZOS","2015-01-08"
"LOCAL BIOTECH FIRM TO START CLINICAL STUDY ON BACTERIOPHAGE","2015-01-08"
"WILDER SLAVERY MUSEUM FILES SUIT OVER FREDERICKSBURG PROPERTY","2015-01-08"
"LOUDOUN CHAIRMAN SCOTT YORK WON’T SEEK RE-ELECTION IN 2015","2015-01-08"
"LOUDOUN COUNTY CHAIRMAN: I’M NOT RUNNING","2015-01-08"
"LAWYER TO CHALLENGE YORK FOR GOP NOMINATION IN LOUDOUN CHAIRMAN’S RACE","2015-01-08"
"DEMOCRAT RANDALL AIMS FOR TOP COUNTY SUPERVISOR SPOT","2015-01-08"
"HOPEWELL COUNCILWOMAN FACING LAWSUIT CHOSEN AS MAYOR","2015-01-08"
"LEADERLESS: SUPES DEADLOCK ON ELECTING CHAIRMAN","2015-01-08"
"TOBACCO TAX ATTRACTIVE TO OTHER LOCALITIES?","2015-01-08"
"A JUST SENTENCE FOR MCDONNELL","2015-01-08"
"A SAD AND DISGRACE DAY FOR ALL","2015-01-08"
"MESSAGE SENT ON CORRUPTION WITH SENTENCE","2015-01-08"
"THE END OF A SAD STORY","2015-01-08"
"VA. ECONOMY STILL FRAGILE","2015-01-08"
"THE PUCKETT AFFAIR — WITH A WHIMPER","2015-01-08"
"ARLINGTON CO. OFFICIALS TAKE A WORTHY PAUSE TO ENGAGE MORE WITH CITIZENS","2015-01-08"
"MCCARTNEY: MCDONNELL’S INCREDIBLE SHRINKING PRISON SENTENCE","2015-01-08"
"SEIP AND SMOLEN: IN VIRGINIA, MORE CLEAN ENERGY JOBS FOR VETERANS","2015-01-08"
"LANSING: VIRGINIA STATE LEGISLATORS SHOULD FIGHT THE EPA","2015-01-08"
"ROSENFELD: VIRGINIA’S ENERGY EFFICIENCY PUSH IS GOOD FOR BUSINESS","2015-01-08"
"CUTLER: HOW WE CAN MAKE THE AIR CLEANER","2015-01-08"
"ROSE: SOME REAL HEALTH CARE OPTIONS","2015-01-08"
"DOCTORS' CALL FOR INSURANCE REFORM SETS UP LEGISLATIVE FIGHT IN VIRGINIA","2015-01-09"
"HOUSE REPUBLICANS PLAN K-12 TWEAKS FOR VIRGINIA PUBLIC SCHOOLS","2015-01-09"
"GOP UNVEILS EDUCATION PRIORITIES","2015-01-09"
"HOUSE REPUBLICANS TO OUTLINE EDUCATION AGENDA","2015-01-09"
"PIPELINE, EDUCATION DOMINATE TOWN HALL MEETING","2015-01-09"
"PIPELINE FOES ADDRESS DELEGATES","2015-01-09"
"LANDOWNERS RESPOND TO DOMINION PIPELINE SURVEY LAWSUITS","2015-01-09"
"LEGISLATORS PROPOSE ETHICS REFORMS","2015-01-09"
"HANOVER LEGISLATORS PREPARE FOR GENERAL ASSEMBLY SESSION","2015-01-09"
"KILGORE PREVIEWS 2015 VIRGINIA GENERAL ASSEMBLY","2015-01-09"
"BERG PUSHES FOR BODY CAMERAS","2015-01-09"
"TWEET FIRST, ASK QUESTIONS LATER","2015-01-09"
"HOUSE REPUBLICANS MIFFED BY DEMOCRATIC STRATEGY, INTERNAL MEMO SHOWS","2015-01-09"
"EXPERTS: MCDONNELL’S TWO-YEAR SENTENCE IS GOOD NEWS FOR MAUREEN","2015-01-09"
"SULLIVAN'S AD FEATURING YOUNG WOMAN'S FATHER ANGERS MORRISSEY","2015-01-09"
"REPUBLICAN KICKS OFF SENATE CAMPAIGN VS. LEWIS","2015-01-09"
"REPUBLICAN OTTINGER TO CHALLENGE SEN. LYNWOOD LEWIS","2015-01-09"
"LEMONS BECOMES 26TH VA. SUPREME COURT CHIEF JUSTICE","2015-01-09"
"PORT OF HAMPTON ROADS HIT CARGO RECORD IN 2014","2015-01-09"
"VA. SUPREME COURT: BLACKSBURG'S HOOKAH LOUNGE NOT EXEMPT FROM SMOKING BAN","2015-01-09"
"VIRGINIA DIDN’T WAIT TO HAVE A RELATIONSHIP WITH CUBA","2015-01-09"
"VDOT MOVING TO WIDEN I-64, REBUILD PART OF INTERCHANGE","2015-01-09"
"TASK FORCE ON SEXUAL ASSAULT CAUTIONED ABOUT MANDATORY REPORTING PROPOSALS","2015-01-09"
"AFTER ELECTION LOSS, CUCCINELLI LANDS ON TANGIER ISLAND","2015-01-09"
"ARLINGTON DEMOCRATS STILL IN WAIT-AND-SEE MODE ON COUNTY BOARD CANDIDATES","2015-01-09"
"SUPERINTENDENT CALLS FOR $70 MILLION IN TEACHER RAISES IN NEW FAIRFAX BUDGET","2015-01-09"
"MARK LEVIN TO LOUDOUN SUPERVISORS: KEEP YOUR TAX BREAK","2015-01-09"
"TARASOVIC SET TO RETIRE AS RICHMOND POLICE CHIEF IN FEBRUARY","2015-01-09"
"COSTS RISE AS PRAYER FIGHT CONTINUES","2015-01-09"
"WISE CHIEF DEPUTY COMMONWEALTH ATTORNEY FIRED","2015-01-09"
"FAIRNESS OUTWEIGHS IMMIGRATION BUREAUCRACY","2015-01-09"
"DVORAK: KIRBY DELAUTER AND JOE MORRISSEY: DUMB AND DUMBER","2015-01-09"
"CLARKSON: NEGATIVE EFFECTS OF FRACKING CONCERNING TO SPORTSMEN AND WOMEN","2015-01-09"
"LANDES: EDUCATION: FOUNDATION FOR OUR CHILDREN AND OUR COMMONWEALTH","2015-01-09"
"DISTRESS SIGNAL: A YEAR LATER, THE SEA DRAGON FLIES ON","2015-01-09"
"MCAULIFFE TOUTS DEVELOPMENT RECORD AFTER 1 YEAR IN OFFICE","2015-01-12"
"MCAULIFFE BEGINS SECOND YEAR AS VIRGINIA GOVERNOR WITH REVAMPED PRIORITIES","2015-01-12"
"STATE EMPLOYEES, POLICE LOOKING FOR COMPENSATION IN TIGHT BUDGET","2015-01-12"
"AT VIRGINIA BUDGET HEARINGS, REAL LIFE STRUGGLES EMERGE","2015-01-12"
"FOIA BILLS - SOME WHITTLE AWAY AT DISCLOSURE, BUT OTHERS AT SECRECY","2015-01-12"
"ETHICS KEY FOCUS OF GENERAL ASSEMBLY","2015-01-12"
"GENERAL ASSEMBLY 2015: A LOAD OF ISSUES AT SESSION'S START","2015-01-12"
"ISSUES TO WATCH DURING VIRGINIA’S 2015 LEGISLATIVE SESSION","2015-01-12"
"STATE LAWMAKERS FINDING COMMON GROUND ON EDUCATION REFORM","2015-01-12"
"BIPARTISAN SUPPORT SEEN FOR CHANGES TO SOL EXAMS","2015-01-12"
"EDUCATION A HOT TOPIC FOR GENERAL ASSEMBLY SESSION","2015-01-12"
"HOUSE REPUBLICANS UNVEIL EDUCATION REFORMS","2015-01-12"
"NEW WOMEN'S COALITION ROLLS OUT AGENDA","2015-01-12"
"HOWELL PROPOSES NEW STATE SONG","2015-01-12"
"LAWMAKERS RESUME PURSUIT OF OFFICIAL SONG FOR VIRGINIA","2015-01-12"
"HAMPTON LAWMAKER FILES BILL TO COMPENSATE WRONGFULLY CONVICTED MAN FOR TIME IN PRISON","2015-01-12"
"A WIDE RANGE OF BILLS FROM PENINSULA LEGISLATORS","2015-01-12"
"ETHICS, DRONES, CVTC AMONG ISSUES ON THE TABLE FOR LOCAL LEGISLATORS","2015-01-12"
"TOSCANO BILL WOULD EXPAND DNA DATA BANK, AS SOUGHT BY SHERIFF HARDING","2015-01-12"
